in: U-value (wall),in: Fin Depth,in: Distance btw fins,in: Shading type,in: Orientation,in: Orientation angle,in: g-value,in: Transmittance,in: U-value (window),in: Glazing ratio,in: Window height,in: Sill height,out: Cooling (kWh/m2.year),out: Heating (kWh/m2.year),out: Lighting (kWh/m2.year),out: Total (kWh/m2.year),out: Dissatisfied (% users),out: Cooling Load (W/m2),out: Heating Load (W/m2)
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.4,1.5,0,6.316804,41.845055,10.2937,98.572144,28.057036,111.489064,38.675363
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.6,1.5,0,7.128594,31.547011,6.36205,85.415216,27.655768,115.211438,32.330189
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.8,1.5,0,8.019551,22.572438,4.0511,75.215475,27.353267,114.645441,25.589044
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.4,1.5,0,6.942543,41.1015,11.02895,99.519537,28.617634,116.82567,38.91057
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.6,1.5,0,7.633233,30.932026,6.08595,85.219287,28.630327,117.436392,32.528528
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.8,1.5,0,8.936704,21.862124,3.87535,75.754064,29.142311,122.469609,25.861849
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.4,1.5,0,6.392695,41.933933,10.5723,99.035197,28.157084,111.512229,38.770565
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.6,1.5,0,7.091912,31.888568,6.4497,85.763302,27.675082,114.339942,32.416612
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.8,1.5,0,7.991124,22.752694,3.98875,75.276388,27.517078,113.561728,25.709019
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.4,1.5,0,6.169733,42.430919,11.6411,100.21045,27.825114,107.691033,38.675363
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.6,1.5,0,6.607484,32.465956,6.7823,85.855772,27.048247,107.920871,32.330189
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.8,1.5,0,7.247742,23.370891,4.3338,75.054531,26.196052,105.765604,25.589044
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.4,1.5,0,6.30402,42.278715,12.0118,100.609336,27.967288,107.9011,38.91057
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.6,1.5,0,6.646749,32.528494,7.01855,86.210454,27.1049,107.879526,32.528528
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.8,1.5,0,7.2936,23.460163,4.452,75.264418,26.424027,104.161885,25.861849
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.4,1.5,0,5.906569,43.003388,11.7974,100.468726,27.689699,103.497365,38.770565
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.6,1.5,0,6.137941,33.2717,7.5074,86.5501,26.495969,98.081534,32.416612
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.8,1.5,0,6.58594,24.080607,4.584,74.874685,25.292062,96.836506,25.709019
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.4,1.5,0,5.686846,43.464702,12.32055,101.07204,27.513815,100.375331,38.675363
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.6,1.5,0,5.805532,33.760241,7.61805,86.619673,26.142455,94.294932,32.330189
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.8,1.5,0,6.065766,24.792012,4.846,75.024188,24.4682,90.315236,25.589044
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,1.5,0,6.587022,25.190497,9.6863,80.914533,24.722095,89.437374,26.815751
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,1.5,0,7.736511,23.473637,5.52945,77.052654,26.92155,108.823757,26.422493
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,1.5,0,8.990108,21.922405,3.76185,75.786787,29.329742,124.264468,25.9139
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,1.5,0,6.344952,25.770676,10.54645,82.067899,24.133216,89.14947,26.683422
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,1.5,0,7.012224,24.078617,6.322,77.272735,25.693254,98.880965,26.264852
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,1.5,0,8.065244,22.911309,3.99105,75.566322,27.667834,115.647075,25.699199
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,1.5,0,5.857037,26.322537,10.2937,81.58739,23.739744,84.320388,26.586668
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,1.5,0,6.52515,24.594948,6.36205,77.078574,24.902944,96.149902,26.141895
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,1.5,0,7.146216,23.536057,4.0511,74.742082,26.222072,104.221374,25.52879
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,1.5,0,6.019601,26.258764,11.02895,82.471998,23.886061,84.697883,26.815751
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,1.5,0,6.448202,24.695031,6.08595,76.678088,25.090356,92.020807,26.422493
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,1.5,0,7.241829,23.515799,3.87535,74.658685,26.648055,103.617151,25.9139
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,1.5,0,5.564936,26.866844,10.5723,81.926011,23.573135,80.039341,26.683422
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,1.5,0,6.008825,25.447341,6.4497,77.146011,24.357645,89.312474,26.264852
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,1.5,0,6.492165,24.306929,3.98875,74.342592,25.430166,95.234275,25.699199
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,1.5,0,5.373349,27.222061,11.6411,83.006832,23.325407,76.418152,26.586668
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,1.5,0,5.583377,25.919912,6.7823,77.246451,23.882256,83.315933,26.141895
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,1.5,0,5.880193,24.905905,4.3338,74.297143,24.52261,87.863111,25.52879
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,1.5,0,5.660118,26.973635,12.0118,83.585533,23.629716,79.846359,26.815751
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,1.5,0,5.995968,25.672428,7.01855,77.932203,24.413451,88.821718,26.422493
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,1.5,0,6.43518,24.653321,4.452,75.063628,25.46323,94.243233,25.9139
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,1.5,0,5.296174,27.52799,11.7974,83.33967,23.433117,75.819242,26.683422
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,1.5,0,5.489237,26.356381,7.5074,78.204473,23.879013,79.025069,26.264852
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,1.5,0,5.784708,25.370044,4.584,74.873049,24.57041,87.066503,25.699199
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,1.5,0,5.098234,27.892217,12.32055,83.893114,23.295946,72.721384,26.586668
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,1.5,0,5.14286,26.79806,7.61805,78.214257,23.588133,75.131993,26.141895
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,1.5,0,5.273269,26.108193,4.846,75.04774,23.93814,80.612153,25.52879
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.4,1.5,0,7.068236,21.493465,9.6863,77.859883,24.210584,90.303259,24.232703
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.6,1.5,0,8.610432,18.256875,5.52945,73.003645,26.659029,110.497611,22.562362
0.6,0.15,0.75,Vertical,SE,135,0.4,0.7,1,0.8,1.5,0,10.344528,15.342344,3.76185,71.06901,29.363574,127.000976,20.809721
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.4,1.5,0,6.803792,22.048081,10.54645,78.929113,23.487261,89.895506,24.132677
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.6,1.5,0,7.842363,18.831434,6.322,73.113091,25.225819,100.309711,22.454626
0.6,0.3,0.75,Vertical,SE,135,0.4,0.7,1,0.8,1.5,0,9.317786,16.149071,3.99105,70.519415,27.424831,118.197439,20.662621
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.4,1.5,0,6.315795,22.516333,10.2937,78.38928,22.961932,84.946074,24.06115
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.6,1.5,0,7.304283,19.314383,6.36205,72.86497,24.218886,97.44869,22.370938
0.6,0.45,0.75,Vertical,SE,135,0.4,0.7,1,0.8,1.5,0,8.291929,16.707499,4.0511,69.438154,25.709983,106.377992,20.54637
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.4,1.5,0,6.852245,22.083319,11.02895,79.515572,23.58262,89.631695,24.232703
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.6,1.5,0,7.804759,18.855968,6.08595,72.832775,25.365788,99.694525,22.562362
0.6,0.15,0.75,Vertical,SE,135,0.32,0.6,1,0.8,1.5,0,9.209628,16.132458,3.87535,70.137029,27.618621,114.123003,20.809721
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.4,1.5,0,6.303899,22.655747,10.5723,78.787098,23.025014,84.583541,24.132677
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.6,1.5,0,7.235186,19.570601,6.4497,73.077663,24.172721,96.339034,22.454626
0.6,0.3,0.75,Vertical,SE,135,0.32,0.6,1,0.8,1.5,0,8.232597,16.874344,3.98875,69.458782,25.835631,105.147132,20.662621
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.4,1.5,0,6.06172,23.047055,11.6411,79.838965,22.605754,80.653211,24.06115
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.6,1.5,0,6.671721,20.028471,6.7823,72.939604,23.359402,89.587042,22.370938
0.6,0.45,0.75,Vertical,SE,135,0.32,0.6,1,0.8,1.5,0,7.456414,17.429925,4.3338,69.115144,24.323742,97.064094,20.54637
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.4,1.5,0,6.080217,23.057089,12.0118,80.22832,22.68737,79.934153,24.232703
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.6,1.5,0,6.681736,20.108491,7.01855,73.25369,23.374346,89.305919,22.562362
0.6,0.15,0.75,Vertical,SE,135,0.25,0.5,1,0.8,1.5,0,7.468898,17.574086,4.452,69.320764,24.511406,95.203652,20.809721
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.4,1.5,0,5.686816,23.579464,11.7974,79.896299,22.395097,75.858047,24.132677
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.6,1.5,0,6.121952,20.670695,7.5074,73.291905,22.611172,79.350629,22.454626
0.6,0.3,0.75,Vertical,SE,135,0.25,0.5,1,0.8,1.5,0,6.747846,18.120785,4.584,68.901293,23.249706,87.882024,20.662621
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.4,1.5,0,5.47605,23.917482,12.32055,80.410844,22.184828,72.729523,24.06115
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.6,1.5,0,5.771987,21.056734,7.61805,73.262792,22.150946,75.371812,22.370938
0.6,0.45,0.75,Vertical,SE,135,0.25,0.5,1,0.8,1.5,0,6.190026,18.722607,4.846,68.867118,22.287287,81.21796,20.54637
0.25,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,3,0,6.181542,45.709921,4.7324,96.809913,29.523743,117.899929,41.025938
0.25,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,3,0,7.283458,36.618475,3.7527,88.272617,29.808622,123.441241,35.94935
0.25,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,3,0,8.48149,28.286144,3.6717,81.577406,30.212579,128.793094,30.590046
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,3,0,5.592136,46.758668,4.97965,97.117597,28.986955,108.372199,40.677814
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,3,0,6.655505,37.616984,4.0543,88.59287,28.919358,117.615361,35.650755
